    T/O      Fuel     Fuel     Payld    Block    Block    Block    Block    Block    Block    Climb    Climb    Climb    Climb    Climb    Climb    ICA      Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Descent  Descent  Descent  Descent  Descent  Descent  Reserve  TOFL     
    Mass     Load     Vol.     Mass     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Alt.     Mach     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Fuel     Dist.    
    kg.      kg.      %Cap.    kg.      nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      ft.         nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      kg.      ft.      s                                       
  415375.   81375.     33.1   35000.    3000.     398.   72805.   1280.1     0.40    128.8     158.      22.    8899.    283.5     0.00      3.9   40000.    0.845    2701.     334.   59360.    933.5     0.00     92.2     141.      23.    1019.      3.8     0.29     21.4   11072.    5001.         
  441076.  107076.     43.6   35000.    4000.     521.   97744.   1708.9     0.39    161.0     148.      21.    8908.    292.3     0.00      3.9   38000.    0.845    3719.     460.   84321.   1353.8     0.00    125.6     133.      22.     988.      3.7     0.27     20.3   11834.    5491.         
  468378.  134378.     54.7   35000.    5000.     645.  124237.   2184.7     0.38    192.8     150.      22.    9355.    313.2     0.00      4.1   36000.    0.845    4722.     585.  110383.   1808.7     0.00    157.8     128.      21.     971.      3.7     0.26     19.6   12644.    6207.         
  497216.  163216.     66.5   35000.    6000.     769.  152220.   2698.1     0.38    226.0     171.      24.   10536.    351.9     0.00      4.7   36000.    0.845    5699.     705.  137179.   2283.3     0.00    190.4     130.      21.     978.      3.7     0.26     19.7   13498.    7026.         
  527960.  193960.     79.0   35000.    7000.     893.  182053.   3266.5     0.37    257.1     167.      24.   10841.    368.0     0.00      4.8   34000.    0.845    6709.     830.  166710.   2835.6     0.00    221.8     124.      21.     974.      3.7     0.26     19.2   14410.    7976.         
  560579.  226579.     92.3   35000.    8000.    1016.  213705.   3911.5     0.37    285.7     196.      28.   12492.    423.2     0.00      5.6   34000.    0.845    7679.     949.  196703.   3425.4     0.00    249.5     125.      21.     982.      3.8     0.26     19.3   15377.    9069.                                                     

  569000.  230000.     93.7   40000.    8013.    1018.  216945.   4007.5     0.37    284.3     204.      29.   12953.    438.1     0.00      5.8   34000.    0.845    7683.     949.  199478.   3506.5     0.00    247.8     126.      21.     987.      3.8     0.26     19.4   15557.    4198.         
  373562.   34562.     14.1   40000.    1000.     151.   27302.    527.3     0.42     62.9     124.      18.    7304.    229.0     0.00      3.1   40000.    0.845     731.      90.   15422.    235.3     0.00     25.6     145.      24.    1048.      3.9     0.31     23.0    9763.    4530.         
  396822.   57822.     23.6   40000.    2000.     274.   49869.    901.7     0.40     95.5     143.      20.    8167.    261.1     0.00      3.6   40000.    0.845    1716.     212.   37155.    577.7     0.00     59.2     141.      23.    1019.      3.8     0.29     21.5   10455.    4791.         
  421334.   82334.     33.5   40000.    3000.     398.   73655.   1305.7     0.40    128.0     163.      23.    9142.    290.7     0.00      4.0   40000.    0.845    2695.     334.   59960.    952.0     0.00     91.1     142.      23.    1026.      3.9     0.29     21.6   11181.    5068.         
  447385.  108385.     44.1   40000.    4000.     521.   98934.   1743.5     0.39    160.4     153.      22.    9166.    300.7     0.00      4.0   38000.    0.845    3714.     460.   85246.   1379.8     0.00    124.7     134.      22.     994.      3.8     0.27     20.4   11954.    5652.         
  475056.  136056.     55.4   40000.    5000.     645.  125784.   2227.2     0.38    192.5     154.      22.    9598.    321.0     0.00      4.3   36000.    0.845    4717.     584.  111681.   1843.3     0.00    157.2     129.      21.     977.      3.7     0.26     19.7   12774.    6390.         
  504247.  165247.     67.3   40000.    6000.     769.  154110.   2749.8     0.37    225.0     169.      24.   10525.    353.3     0.00      4.7   36000.    0.845    5703.     706.  139088.   2333.7     0.00    189.7     127.      21.     970.      3.7     0.26     19.3   13640.    7236.         
  535485.  196485.     80.0   40000.    7000.     893.  184423.   3338.3     0.37    255.8     174.      25.   11206.    380.5     0.00      5.0   34000.    0.845    6702.     829.  168709.   2894.9     0.00    220.2     125.      21.     979.      3.7     0.26     19.3   14565.    8220.         
  568567.  229567.     93.5   40000.    8000.    1016.  216526.   3998.8     0.37    283.9     204.      29.   12928.    437.3     0.00      5.8   34000.    0.845    7671.     948.  199082.   3498.5     0.00    247.5     126.      21.     987.      3.8     0.26     19.4   15544.    9351.                                                     
  569000.  225000.     91.6   45000.    7780.     989.  212013.   3932.4     0.37    276.2     204.      29.   12953.    438.1     0.00      5.8   34000.    0.845    7449.     920.  194542.   3431.3     0.00    239.6     126.      21.     991.      3.8     0.26     19.5   15490.    4238.         
  379008.   35008.     14.3   45000.    1000.     150.   27651.    544.4     0.40     61.5     131.      19.    7556.    242.2     0.00      3.3   40000.    0.845     728.      90.   15548.    239.2     0.00     25.4     141.      23.    1019.      3.8     0.29     21.5    9860.    4591.         
  402464.   58464.     23.8   45000.    2000.     274.   50411.    918.7     0.40     95.1     148.      21.    8383.    267.8     0.00      3.7   40000.    0.845    1711.     212.   37476.    587.9     0.00     58.5     142.      23.    1025.      3.9     0.29     21.6   10555.    4855.         
  427369.   83369.     34.0   45000.    3000.     398.   74580.   1330.1     0.39    126.7     139.      20.    8420.    276.7     0.00      3.7   38000.    0.845    2728.     338.   61639.    990.4     0.00     91.4     133.      22.     993.      3.8     0.27     20.4   11292.    5154.         
  453698.  109698.     44.7   45000.    4000.     521.  100128.   1777.7     0.39    159.8     157.      22.    9406.    308.1     0.00      4.1   38000.    0.845    3708.     459.   86195.   1406.6     0.00    123.9     135.      22.    1000.      3.8     0.27     20.5   12072.    5815.         
  481756.  137756.     56.1   45000.    5000.     645.  127355.   2271.6     0.38    192.0     159.      23.    9887.    330.8     0.00      4.4   36000.    0.845    4710.     583.  112957.   1877.9     0.00    156.6     130.      21.     983.      3.7     0.26     19.8   12904.    6578.         
  511334.  167334.     68.2   45000.    6000.     769.  156056.   2805.7     0.37    224.2     175.      25.   10832.    363.1     0.00      4.8   36000.    0.845    5697.     705.  140721.   2379.7     0.00    188.7     128.      21.     976.      3.7     0.26     19.5   13780.    7452.         
  543016.  199016.     81.1   45000.    7000.     893.  186799.   3410.3     0.37    254.4     179.      26.   11550.    391.7     0.00      5.2   34000.    0.845    6695.     828.  170737.   2955.6     0.00    218.6     125.      21.     985.      3.8     0.26     19.4   14719.    8469.                                                                                                 
  569000.  221100.     90.1   48900.    7600.     967.  208166.   3873.6     0.37    269.8     204.      29.   12953.    438.1     0.00      5.8   34000.    0.845    7269.     898.  190692.   3372.5     0.00    233.3     127.      21.     993.      3.8     0.26     19.5   15437.    4270.         
  383192.   35292.     14.4   48900.    1000.     150.   27864.    551.2     0.40     61.4     133.      19.    7688.    246.2     0.00      3.4   40000.    0.845     726.      90.   15624.    241.9     0.00     25.1     141.      23.    1024.      3.8     0.29     21.6    9930.    4638.         
  406866.   58966.     24.0   48900.    2000.     274.   50837.    931.8     0.40     94.7     151.      21.    8544.    272.6     0.00      3.7   40000.    0.845    1707.     211.   37735.    596.2     0.00     58.0     142.      23.    1030.      3.9     0.29     21.7   10632.    4904.         
  432037.   84137.     34.3   48900.    3000.     398.   75262.   1349.2     0.39    126.5     142.      20.    8577.    281.7     0.00      3.7   38000.    0.845    2724.     337.   62160.   1004.6     0.00     91.0     134.      22.     998.      3.8     0.28     20.5   11377.    5267.         
  458643.  110743.     45.1   48900.    4000.     522.  101079.   1805.7     0.39    159.2     162.      23.    9618.    315.0     0.00      4.2   38000.    0.845    3703.     458.   86929.   1427.7     0.00    123.2     135.      22.    1004.      3.8     0.28     20.6   12166.    5945.         
  486983.  139083.     56.7   48900.    5000.     645.  128580.   2305.8     0.38    191.7     163.      23.   10092.    337.4     0.00      4.5   36000.    0.845    4706.     583.  113973.   1905.5     0.00    156.1     131.      21.     987.      3.8     0.27     19.9   13006.    6728.         
  516886.  168986.     68.8   48900.    6000.     769.  157596.   2850.8     0.37    223.5     180.      26.   11104.    372.0     0.00      4.9   36000.    0.845    5691.     704.  141984.   2415.9     0.00    187.8     129.      21.     980.      3.7     0.26     19.5   13893.    7625.         
  548915.  201015.     81.9   48900.    7000.     893.  188676.   3468.9     0.37    253.2     185.      27.   11873.    402.8     0.00      5.3   34000.    0.845    6689.     827.  172287.   3003.2     0.00    217.2     126.      21.     989.      3.8     0.26     19.4   14842.    8667.                                                                                                 

